Entity,Day,Daily hospital occupancy per million
Australia,2020-03-31,16.274
Australia,2020-04-01,16.847
Australia,2020-04-02,15.853
Australia,2020-04-03,17.458
Australia,2020-04-04,18.718
Australia,2020-04-05,17.458
Australia,2020-04-06,11.651
Australia,2020-04-07,10.047
Australia,2020-04-08,10.009
Australia,2020-04-09,9.436
Australia,2020-04-10,9.168
Australia,2020-04-11,9.13
Australia,2020-04-12,8.672
Australia,2020-04-13,8.786
Australia,2020-04-14,8.175
Australia,2020-04-15,7.678
Australia,2020-04-16,7.335
Australia,2020-04-17,7.029
Australia,2020-04-18,6.762
Australia,2020-04-19,6.494
Australia,2020-04-20,6.38
Australia,2020-04-21,6.15
Australia,2020-04-22,5.807
Australia,2020-04-23,5.272
Australia,2020-04-24,4.928
Australia,2020-04-25,4.393
Australia,2020-04-26,4.317
Australia,2020-04-27,4.164
Australia,2020-04-28,3.553
Australia,2020-04-29,3.4
Australia,2020-04-30,3.171
Australia,2020-05-01,3.018
Australia,2020-05-02,2.865
Australia,2020-05-03,2.674
Australia,2020-05-04,2.521
Australia,2020-05-05,2.368
Australia,2020-05-06,2.216
Australia,2020-05-07,2.139
Australia,2020-05-08,1.948
Australia,2020-05-09,1.643
Australia,2020-05-10,1.872
Australia,2020-05-11,1.795
Australia,2020-05-12,1.91
Australia,2020-05-13,1.948
Australia,2020-05-14,1.757
Australia,2020-05-15,1.872
Australia,2020-05-16,1.91
Australia,2020-05-17,1.719
Australia,2020-05-18,1.795
Australia,2020-05-19,1.643
Australia,2020-05-20,1.566
Australia,2020-05-21,1.49
Australia,2020-05-22,1.337
Australia,2020-05-23,1.261
Australia,2020-05-24,1.184
Australia,2020-05-25,1.146
Australia,2020-05-26,1.146
Australia,2020-05-27,1.108
Australia,2020-05-28,0.879
Australia,2020-05-29,0.84
Australia,2020-05-30,0.764
Australia,2020-05-31,0.764
Australia,2020-06-01,0.993
Australia,2020-06-02,0.955
Australia,2020-06-03,0.84
Australia,2020-06-04,0.802
Australia,2020-06-05,0.802
Australia,2020-06-06,0.688
Australia,2020-06-07,0.726
Australia,2020-06-08,0.688
Australia,2020-06-09,0.764
Australia,2020-06-10,0.688
Australia,2020-06-11,0.649
Australia,2020-06-12,0.611
Australia,2020-06-13,0.611
Australia,2020-06-14,0.649
Australia,2020-06-15,0.649
Australia,2020-06-16,0.611
Australia,2020-06-17,0.535
Australia,2020-06-18,0.573
Australia,2020-06-19,0.649
Australia,2020-06-20,0.611
Australia,2020-06-21,0.688
Australia,2020-06-22,0.726
Australia,2020-06-23,0.611
Australia,2020-06-24,0.611
Australia,2020-06-25,0.458
Australia,2020-06-26,0.458
Australia,2020-06-27,0.42
Australia,2020-06-28,0.573
Australia,2020-06-29,0.535
Australia,2020-06-30,0.688
Australia,2020-07-01,0.917
Australia,2020-07-02,1.031
Australia,2020-07-03,1.108
Australia,2020-07-04,1.146
Australia,2020-07-05,1.299
Australia,2020-07-06,1.49
Australia,2020-07-07,1.757
Australia,2020-07-08,1.719
Australia,2020-07-09,2.063
Australia,2020-07-10,2.101
Australia,2020-07-11,2.559
Australia,2020-07-12,3.514
Australia,2020-07-13,3.438
Australia,2020-07-14,4.24
Australia,2020-07-15,4.355
Australia,2020-07-16,4.813
Australia,2020-07-17,4.393
Australia,2020-07-18,5.157
Australia,2020-07-19,5.959
Australia,2020-07-20,6.953
Australia,2020-07-21,8.175
Australia,2020-07-22,8.06
Australia,2020-07-23,8.29
Australia,2020-07-24,9.13
Australia,2020-07-25,9.206
Australia,2020-07-26,9.894
Australia,2020-07-27,10.505
Australia,2020-07-28,12.339
Australia,2020-07-29,12.606
Australia,2020-07-30,13.982
Australia,2020-07-31,15.319
Australia,2020-08-01,15.586
Australia,2020-08-02,16.77
Australia,2020-08-03,18.451
Australia,2020-08-04,21.622
Australia,2020-08-05,22.921
Australia,2020-08-06,24.143
Australia,2020-08-07,25.174
Australia,2020-08-08,25.136
Australia,2020-08-09,25.365
Australia,2020-08-10,25.709
Australia,2020-08-11,26.206
Australia,2020-08-12,26.206
Australia,2020-08-13,25.938
Australia,2020-08-14,26.015
Australia,2020-08-15,25.977
Australia,2020-08-16,25.747
Australia,2020-08-17,26.053
Australia,2020-08-18,26.511
Australia,2020-08-19,24.601
Australia,2020-08-20,24.716
Australia,2020-08-21,24.105
Australia,2020-08-22,23.073
Australia,2020-08-23,25.174
Australia,2020-08-24,24.601
Australia,2020-08-25,23.035
Australia,2020-08-26,21.316
Australia,2020-08-27,20.743
Australia,2020-08-28,19.482
Australia,2020-08-29,19.139
Australia,2020-08-30,18.375
Australia,2020-08-31,17.19
Australia,2020-09-01,16.503
Australia,2020-09-02,14.937
Australia,2020-09-03,13.638
Australia,2020-09-04,12.453
Australia,2020-09-05,11.842
Australia,2020-09-06,11.231
Australia,2020-09-07,10.047
Australia,2020-09-08,8.442
Australia,2020-09-09,7.449
Australia,2020-09-10,6.189
Australia,2020-09-11,5.768
Australia,2020-09-12,5.234
Australia,2020-09-13,5.386
Australia,2020-09-14,5.31
Australia,2020-09-15,4.813
Australia,2020-09-16,4.47
Australia,2020-09-17,4.126
Australia,2020-09-18,4.049
Australia,2020-09-19,4.164
Australia,2020-09-20,4.087
Australia,2020-09-21,3.82
Australia,2020-09-22,3.4
Australia,2020-09-23,3.094
Australia,2020-09-24,2.712
Australia,2020-09-25,2.598
Australia,2020-09-26,2.483
Australia,2020-09-27,2.368
Australia,2020-09-28,2.292
Australia,2020-09-29,2.101
Australia,2020-09-30,1.91
Australia,2020-10-01,1.948
Australia,2020-10-02,1.872
Australia,2020-10-03,1.757
Australia,2020-10-04,1.757
Australia,2020-10-05,1.413
Australia,2020-10-06,1.222
Australia,2020-10-07,1.184
Australia,2020-10-08,1.07
Australia,2020-10-09,1.184
